tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-03-30 14:10:00+05:30,8462.6,True,False,4026,2015-03-30 14:10:00+05:30,8453.5,8463.3,8453.3,8462.6,0,8443.83672814774,8422.122630664437,8415.756207493389,1,True,True,True,False,False,False,64,0,5,0,BUY,63.0,8771.45,2015-04-15 15:00:00+05:30,SELL,19457.550000000025,127755.19999999998,28,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-04-16 10:10:00+05:30,8710.5,False,True,4653,2015-04-16 10:10:00+05:30,8713.95,8714.85,8702.8,8710.5,0,8746.671950033819,8775.527521164757,8783.571252548167,-1,False,False,False,True,True,True,0,19,0,5,SELL,-73.0,8461.0,2015-04-23 09:15:00+05:30,BUY,18213.5,145968.69999999998,29,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-04-23 12:25:00+05:30,8397.65,False,True,5055,2015-04-23 12:25:00+05:30,8402.1,8406.8,8391.4,8397.65,0,8417.775439142773,8420.126818469967,8439.57263710835,-1,False,False,False,True,True,True,0,5,0,280,SELL,-86.0,8447.25,2015-04-23 14:25:00+05:30,BUY,-4265.600000000031,141703.09999999995,30,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-04-23 15:05:00+05:30,8404.25,False,True,5087,2015-04-23 15:05:00+05:30,8404.75,8408.35,8396.65,8404.25,0,8404.57525613867,8406.124900484918,8428.35814446093,-1,False,False,False,True,True,True,0,6,0,280,SELL,-84.0,8274.0,2015-04-28 14:45:00+05:30,BUY,10941.0,152644.09999999995,31,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-04-29 10:55:00+05:30,8230.35,False,True,5337,2015-04-29 10:55:00+05:30,8231.95,8234.25,8227.15,8230.35,0,8247.057561756503,8247.18937470681,8267.494123450844,-1,True,True,False,True,True,True,0,7,0,280,SELL,-92.0,8268.6,2015-04-29 12:50:00+05:30,BUY,-3519.0,149125.09999999995,32,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-04-29 15:05:00+05:30,8234.15,False,True,5387,2015-04-29 15:05:00+05:30,8242.6,8244.9,8228.45,8234.15,0,8259.449798953478,8260.216009774322,8264.598684036242,-1,False,False,False,True,True,True,0,7,0,280,SELL,-90.0,8235.6,2015-05-04 09:15:00+05:30,BUY,-130.50000000006548,148994.5999999999,33,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-05-04 10:55:00+05:30,8274.25,True,False,5487,2015-05-04 10:55:00+05:30,8273.6,8278.7,8273.6,8274.25,0,8259.778103018665,8232.882257041143,8227.530225988468,1,True,True,True,False,False,False,23,0,5,0,BUY,90.0,8274.95,2015-05-06 09:35:00+05:30,SELL,63.000000000065484,149057.59999999995,34,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-05-06 10:30:00+05:30,8145.75,False,True,5632,2015-05-06 10:30:00+05:30,8161.55,8168.95,8145.65,8145.75,0,8218.283899621216,8264.882574485866,8278.886894959098,-1,False,False,False,True,True,True,0,16,0,5,SELL,-91.0,8154.85,2015-05-08 09:20:00+05:30,BUY,-828.1000000000331,148229.4999999999,35,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-05-08 12:40:00+05:30,8192.85,True,False,5808,2015-05-08 12:40:00+05:30,8195.25,8198.0,8188.85,8192.85,0,8175.493064426063,8150.303782997341,8144.697669804325,1,True,True,True,False,False,False,42,0,5,0,BUY,90.0,8214.0,2015-05-12 09:30:00+05:30,SELL,1903.4999999999673,150132.99999999988,36,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-05-12 12:00:00+05:30,8165.75,False,True,5950,2015-05-12 12:00:00+05:30,8171.1,8172.55,8161.15,8165.75,0,8181.73179950154,8214.014341487285,8220.466471020853,-1,True,True,True,True,True,True,0,34,0,5,SELL,-91.0,8223.8,2015-05-13 09:15:00+05:30,BUY,-5282.549999999934,144850.44999999995,37,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-05-13 11:15:00+05:30,8147.1,False,True,6016,2015-05-13 11:15:00+05:30,8123.2,8147.55,8118.7,8147.1,0,8184.1784302425185,8185.71644451821,8198.30711093529,-1,True,True,True,True,True,True,0,6,0,71,SELL,-88.0,8191.85,2015-05-13 13:15:00+05:30,BUY,-3938.0,140912.44999999995,38,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-05-13 15:05:00+05:30,8238.25,True,False,6062,2015-05-13 15:05:00+05:30,8242.75,8244.7,8234.1,8238.25,0,8218.7651188773,8197.750975259376,8193.446210184222,1,True,True,True,False,False,False,25,0,5,0,BUY,85.0,8148.1,2015-05-14 09:15:00+05:30,SELL,-7662.749999999969,133249.69999999998,39,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-05-14 10:25:00+05:30,8222.25,True,False,6081,2015-05-14 10:25:00+05:30,8208.5,8222.45,8207.1,8222.25,0,8203.938103902645,8199.00152267375,8194.579132345252,1,True,True,True,True,True,True,5,0,24,0,BUY,81.0,8185.65,2015-05-14 10:40:00+05:30,SELL,-2964.6000000000295,130285.09999999995,40,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-05-14 12:40:00+05:30,8168.1,False,True,6108,2015-05-14 12:40:00+05:30,8185.15,8186.15,8167.95,8168.1,0,8187.192847041359,8190.890882065568,8192.806497996497,-1,True,True,True,True,True,True,0,11,0,14,SELL,-79.0,8202.95,2015-05-14 13:20:00+05:30,BUY,-2753.1500000000287,127531.94999999992,41,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-05-14 15:00:00+05:30,8216.35,True,False,6136,2015-05-14 15:00:00+05:30,8211.2,8222.9,8210.95,8216.35,0,8202.480874474802,8196.169545327344,8193.584665020868,1,True,True,True,False,False,False,12,0,5,0,BUY,77.0,8429.3,2015-05-25 09:15:00+05:30,SELL,16397.149999999914,143929.09999999983,42,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-05-25 13:20:00+05:30,8378.15,False,True,6641,2015-05-25 13:20:00+05:30,8394.1,8394.3,8373.55,8378.15,0,8407.355580893145,8421.880920024994,8426.421543445911,-1,False,False,False,True,True,True,0,53,0,5,SELL,-85.0,8361.9,2015-05-28 09:15:00+05:30,BUY,1381.25,145310.34999999983,43,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-05-28 11:20:00+05:30,8315.1,False,True,6842,2015-05-28 11:20:00+05:30,8314.65,8316.6,8310.4,8315.1,0,8328.933058061662,8329.726326316364,8344.492002285828,-1,False,False,False,True,True,True,0,6,0,206,SELL,-87.0,8352.45,2015-05-29 09:20:00+05:30,BUY,-3249.4500000000317,142060.8999999998,44,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-05-29 10:50:00+05:30,8397.7,True,False,6911,2015-05-29 10:50:00+05:30,8398.45,8399.3,8396.2,8397.7,0,8370.581030214926,8341.95738507275,8334.080470041452,1,True,True,True,True,True,True,26,0,5,0,BUY,84.0,8383.55,2015-06-02 09:25:00+05:30,SELL,-1188.6000000001222,140872.29999999967,45,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-06-02 11:40:00+05:30,8312.05,False,True,7071,2015-06-02 11:40:00+05:30,8308.75,8320.55,8307.1,8312.05,0,8356.79319950269,8387.92057805279,8398.055959388766,-1,False,False,False,True,True,True,0,50,0,5,SELL,-84.0,8165.8,2015-06-05 12:00:00+05:30,BUY,12284.999999999924,153157.29999999958,46,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-06-05 15:15:00+05:30,8112.6,False,True,7339,2015-06-05 15:15:00+05:30,8118.55,8118.55,8111.55,8112.6,0,8147.37421194397,8148.561551174755,8160.343321273044,-1,False,False,False,True,True,True,0,6,0,280,SELL,-94.0,8077.65,2015-06-10 09:15:00+05:30,BUY,3285.3000000000684,156442.59999999966,47,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-06-10 11:45:00+05:30,8100.35,True,False,7522,2015-06-10 11:45:00+05:30,8100.45,8102.35,8098.1,8100.35,0,8093.891526327234,8077.4161113043165,8074.538152072201,1,True,True,True,False,False,False,31,0,5,0,BUY,96.0,8067.0,2015-06-11 10:30:00+05:30,SELL,-3201.600000000035,153240.99999999962,48,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-06-11 11:55:00+05:30,8031.8,False,True,7599,2015-06-11 11:55:00+05:30,8033.75,8039.0,8030.95,8031.8,0,8052.383600786754,8079.541890170216,8086.277848551103,-1,False,False,False,True,True,True,0,21,0,5,SELL,-95.0,8029.45,2015-06-15 09:40:00+05:30,BUY,223.25000000003456,153464.24999999965,49,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-06-15 14:15:00+05:30,8044.4,True,False,7777,2015-06-15 14:15:00+05:30,8037.1,8044.4,8036.95,8044.4,0,8033.083213442794,8018.871247388221,8014.710550165242,1,True,True,True,False,False,True,18,0,5,0,BUY,95.0,8012.9,2015-06-15 15:15:00+05:30,SELL,-2992.5,150471.74999999965,50,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-06-16 09:55:00+05:30,7982.0,False,True,7800,2015-06-16 09:55:00+05:30,7984.95,7984.95,7976.4,7982.0,0,7999.193701933326,8008.623553633632,8012.797798119169,-1,True,True,False,True,True,True,0,14,0,5,SELL,-94.0,8004.65,2015-06-16 14:25:00+05:30,BUY,-2129.099999999966,148342.64999999967,51,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-06-17 09:35:00+05:30,8066.0,True,False,7871,2015-06-17 09:35:00+05:30,8069.9,8072.75,8064.85,8066.0,0,8040.443253584503,8014.349506126089,8005.9821753317565,1,True,True,True,False,False,False,20,0,5,0,BUY,91.0,8346.8,2015-06-24 15:10:00+05:30,SELL,25552.799999999934,173895.4499999996,52,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-06-25 13:10:00+05:30,8389.55,True,False,8364,2015-06-25 13:10:00+05:30,8384.65,8389.75,8384.4,8389.55,0,8372.544056843775,8371.925979402791,8363.733207388106,1,True,True,True,True,True,False,5,0,280,0,BUY,103.0,8363.65,2015-06-26 09:30:00+05:30,SELL,-2667.6999999999625,171227.74999999965,53,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-06-26 13:45:00+05:30,8376.5,True,False,8446,2015-06-26 13:45:00+05:30,8385.9,8386.8,8373.85,8376.5,0,8373.534153195704,8373.52267896242,8372.120302522435,1,True,True,True,True,True,False,8,0,5,0,BUY,102.0,8369.7,2015-06-26 14:40:00+05:30,SELL,-693.5999999999258,170534.14999999973,54,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-06-29 09:40:00+05:30,8226.45,False,True,8472,2015-06-29 09:40:00+05:30,8230.4,8236.25,8224.6,8226.45,0,8312.607531801745,8346.868300207034,8365.731391680813,-1,True,True,True,True,True,True,0,6,0,5,SELL,-103.0,8319.85,2015-06-29 14:10:00+05:30,BUY,-9620.199999999963,160913.94999999978,55,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-06-30 12:05:00+05:30,8334.3,True,False,8576,2015-06-30 12:05:00+05:30,8330.25,8336.1,8329.9,8334.3,0,8332.014684567801,8319.88059307593,8317.327549666294,1,True,True,True,True,False,False,54,0,7,0,BUY,96.0,8316.8,2015-06-30 12:45:00+05:30,SELL,-1680.0,159233.94999999978,56,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-06-30 14:40:00+05:30,8339.15,True,False,8607,2015-06-30 14:40:00+05:30,8343.45,8346.0,8338.65,8339.15,0,8329.224460417667,8325.879962335352,8320.208675132204,1,True,True,True,False,False,False,5,0,38,0,BUY,95.0,8431.85,2015-07-06 09:15:00+05:30,SELL,8806.50000000007,168040.44999999984,57,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-07-06 13:00:00+05:30,8467.0,True,False,8812,2015-07-06 13:00:00+05:30,8456.0,8469.35,8452.6,8467.0,0,8440.583970390024,8439.104455191458,8435.37701456796,1,True,True,True,False,False,False,7,0,243,0,BUY,99.0,8425.05,2015-07-08 09:15:00+05:30,SELL,-4153.050000000072,163887.39999999976,58,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-07-08 10:55:00+05:30,8404.25,False,True,8937,2015-07-08 10:55:00+05:30,8420.15,8420.9,8403.5,8404.25,0,8446.671242140485,8474.984202268788,8482.244472593176,-1,False,False,False,True,True,True,0,38,0,5,SELL,-97.0,8372.3,2015-07-10 15:05:00+05:30,BUY,3099.1500000000706,166986.54999999984,59,s8_NIFTY 50_close_200_exit
