tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-03-09 09:35:00+05:30,8811.75,False,True,2852,2015-03-09 09:35:00+05:30,8831.55,8836.9,8811.75,8811.75,0,8881.699119521716,8897.037113053693,8936.29815497053,-1,False,False,False,True,True,True,0,5,0,70,SELL,-66.0,8756.8,2015-03-12 09:20:00+05:30,BUY,3626.700000000048,120792.80000000016,21,s7_NIFTY 50_
NIFTY 50,NSE,2015-03-13 09:15:00+05:30,8819.7,True,False,3148,2015-03-13 09:15:00+05:30,8844.05,8844.05,8816.3,8819.7,0,8770.747990844606,8761.70111958101,8757.949871946692,1,True,True,True,True,True,True,14,0,5,0,BUY,68.0,8737.3,2015-03-13 10:05:00+05:30,SELL,-5603.200000000099,115189.60000000006,22,s7_NIFTY 50_
NIFTY 50,NSE,2015-03-13 11:30:00+05:30,8700.8,False,True,3173,2015-03-13 11:30:00+05:30,8732.35,8732.45,8696.35,8700.8,0,8742.228715648946,8753.334413423612,8757.067022659363,-1,False,False,False,True,True,True,0,18,0,5,SELL,-66.0,8681.3,2015-03-17 09:45:00+05:30,BUY,1287.0,116476.60000000006,23,s7_NIFTY 50_
NIFTY 50,NSE,2015-03-17 11:45:00+05:30,8717.15,True,False,3322,2015-03-17 11:45:00+05:30,8719.35,8722.1,8716.75,8717.15,0,8716.182926071568,8692.366299786612,8687.883752366753,1,True,True,True,True,True,True,32,0,5,0,BUY,66.0,8686.35,2015-03-17 12:05:00+05:30,SELL,-2032.799999999952,114443.8000000001,24,s7_NIFTY 50_
NIFTY 50,NSE,2015-03-17 13:25:00+05:30,8665.1,False,True,3342,2015-03-17 13:25:00+05:30,8649.1,8665.15,8649.1,8665.1,0,8675.2774096632,8682.320010997993,8685.914567646018,-1,True,True,True,True,True,True,0,10,0,5,SELL,-66.0,8702.75,2015-03-17 15:00:00+05:30,BUY,-2484.899999999976,111958.90000000013,25,s7_NIFTY 50_
NIFTY 50,NSE,2015-03-18 09:50:00+05:30,8690.6,True,False,3374,2015-03-18 09:50:00+05:30,8689.55,8693.8,8682.25,8690.6,0,8697.331903549331,8686.762960908334,8684.753340241687,1,True,True,True,True,True,True,15,0,5,0,BUY,64.0,8691.5,2015-03-18 13:45:00+05:30,SELL,57.59999999997672,112016.5000000001,26,s7_NIFTY 50_
NIFTY 50,NSE,2015-03-19 09:35:00+05:30,8782.45,True,False,3446,2015-03-19 09:35:00+05:30,8771.7,8783.4,8771.7,8782.45,0,8715.003462865878,8705.561990178929,8695.10509213217,1,True,True,True,True,True,True,5,0,77,0,BUY,63.0,8705.25,2015-03-19 14:25:00+05:30,SELL,-4863.600000000046,107152.90000000005,27,s7_NIFTY 50_
NIFTY 50,NSE,2015-03-20 09:25:00+05:30,8597.3,False,True,3519,2015-03-20 09:25:00+05:30,8606.9,8610.45,8595.25,8597.3,0,8658.105221899506,8696.166181595892,8708.402112938398,-1,False,False,False,True,True,True,0,16,0,5,SELL,-62.0,8601.1,2015-03-24 11:30:00+05:30,BUY,-235.60000000006767,106917.29999999999,28,s7_NIFTY 50_
NIFTY 50,NSE,2015-03-24 13:30:00+05:30,8551.95,False,True,3718,2015-03-24 13:30:00+05:30,8562.4,8562.4,8551.0,8551.95,0,8575.368812093047,8576.910656155364,8595.547870414659,-1,True,True,False,True,True,True,0,5,0,204,SELL,-62.0,8615.85,2015-03-24 14:00:00+05:30,BUY,-3961.7999999999774,102955.50000000001,29,s7_NIFTY 50_
NIFTY 50,NSE,2015-03-24 15:00:00+05:30,8537.6,False,True,3736,2015-03-24 15:00:00+05:30,8549.0,8555.9,8537.15,8537.6,0,8578.883404110638,8580.075519787299,8593.667642838935,-1,False,False,False,True,True,True,0,5,0,222,SELL,-60.0,8410.7,2015-03-30 10:00:00+05:30,BUY,7613.999999999978,110569.5,30,s7_NIFTY 50_
NIFTY 50,NSE,2015-03-30 14:10:00+05:30,8462.6,True,False,4026,2015-03-30 14:10:00+05:30,8453.5,8463.3,8453.3,8462.6,0,8443.83672814774,8422.122630664437,8415.756207493389,1,True,True,True,False,False,False,64,0,5,0,BUY,65.0,8771.45,2015-04-15 15:00:00+05:30,SELL,20075.250000000022,130644.75000000003,31,s7_NIFTY 50_
NIFTY 50,NSE,2015-04-16 10:10:00+05:30,8710.5,False,True,4653,2015-04-16 10:10:00+05:30,8713.95,8714.85,8702.8,8710.5,0,8746.671950033819,8775.527521164757,8783.571252548167,-1,False,False,False,True,True,True,0,19,0,5,SELL,-74.0,8461.0,2015-04-23 09:15:00+05:30,BUY,18463.0,149107.75000000003,32,s7_NIFTY 50_
NIFTY 50,NSE,2015-04-23 11:30:00+05:30,8398.2,False,True,5044,2015-04-23 11:30:00+05:30,8407.9,8412.5,8391.7,8398.2,0,8431.67111049914,8424.822650446753,8442.783397112182,-1,False,False,False,True,True,True,0,5,0,251,SELL,-88.0,8447.25,2015-04-23 14:25:00+05:30,BUY,-4316.399999999936,144791.3500000001,33,s7_NIFTY 50_
NIFTY 50,NSE,2015-04-23 15:00:00+05:30,8404.9,False,True,5086,2015-04-23 15:00:00+05:30,8402.85,8409.2,8400.75,8404.9,0,8404.609493626951,8406.201427035321,8428.600437370085,-1,False,False,False,True,True,True,0,5,0,251,SELL,-86.0,8274.0,2015-04-28 14:45:00+05:30,BUY,11257.399999999969,156048.75000000006,34,s7_NIFTY 50_
NIFTY 50,NSE,2015-04-29 10:45:00+05:30,8229.25,False,True,5335,2015-04-29 10:45:00+05:30,8227.7,8232.55,8225.6,8229.25,0,8250.623226411684,8248.539010250899,8268.231425507878,-1,True,True,False,True,True,True,0,5,0,251,SELL,-94.0,8268.6,2015-04-29 12:50:00+05:30,BUY,-3698.900000000034,152349.85000000003,35,s7_NIFTY 50_
NIFTY 50,NSE,2015-04-29 14:55:00+05:30,8248.15,False,True,5385,2015-04-29 14:55:00+05:30,8251.2,8255.85,8244.95,8248.15,0,8264.266928915466,8262.081150113707,8265.13841654878,-1,False,False,False,True,True,True,0,5,0,251,SELL,-92.0,8235.6,2015-05-04 09:15:00+05:30,BUY,1154.599999999933,153504.44999999995,36,s7_NIFTY 50_
