tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,is_ema20_in_downtrend,ema50,is_ema50_in_uptrend,is_ema50_in_downtrend,ema200,is_ema200_in_uptrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-03-09 09:35:00,8811.75,False,True,2015-03-09 09:35:00,8831.55,8836.9,8811.75,8811.75,0,8881.699119521716,False,True,8897.037113053693,False,True,8936.29815497058,False,True,0,5,0,70,SELL,-63.0,8756.8,2015-03-12 09:20:00,BUY,3461.850000000046,115516.70000000036,20,s7_NIFTY 50
NIFTY 50,NSE,2015-03-13 09:15:00,8819.7,True,False,2015-03-13 09:15:00,8844.05,8844.05,8816.3,8819.7,0,8770.747990844606,True,False,8761.70111958101,True,False,8757.949871946692,True,False,14,0,5,0,BUY,65.0,8737.3,2015-03-13 10:05:00,SELL,-5356.000000000095,110160.70000000027,21,s7_NIFTY 50
NIFTY 50,NSE,2015-03-13 11:30:00,8700.8,False,True,2015-03-13 11:30:00,8732.35,8732.45,8696.35,8700.8,0,8742.228715648946,False,True,8753.334413423612,False,True,8757.067022659363,False,True,0,18,0,5,SELL,-63.0,8681.3,2015-03-17 09:45:00,BUY,1228.5,111389.20000000027,22,s7_NIFTY 50
NIFTY 50,NSE,2015-03-17 11:45:00,8717.15,True,False,2015-03-17 11:45:00,8719.35,8722.1,8716.75,8717.15,0,8716.182926071568,True,True,8692.366299786612,True,False,8687.883752366753,True,False,32,0,5,0,BUY,63.0,8686.35,2015-03-17 12:05:00,SELL,-1940.3999999999542,109448.80000000032,23,s7_NIFTY 50
NIFTY 50,NSE,2015-03-17 13:25:00,8665.1,False,True,2015-03-17 13:25:00,8649.1,8665.15,8649.1,8665.1,0,8675.2774096632,False,True,8682.320010997993,False,True,8685.914567646018,False,True,0,10,0,5,SELL,-63.0,8702.75,2015-03-17 15:00:00,BUY,-2371.949999999977,107076.85000000034,24,s7_NIFTY 50
NIFTY 50,NSE,2015-03-18 09:50:00,8690.6,True,False,2015-03-18 09:50:00,8689.55,8693.8,8682.25,8690.6,0,8697.331903549331,True,False,8686.762960908334,True,False,8684.753340241687,True,False,15,0,5,0,BUY,61.0,8691.5,2015-03-18 13:45:00,SELL,54.89999999997781,107131.75000000032,25,s7_NIFTY 50
NIFTY 50,NSE,2015-03-19 09:35:00,8782.45,True,False,2015-03-19 09:35:00,8771.7,8783.4,8771.7,8782.45,0,8715.003462865878,True,False,8705.561990178929,True,False,8695.10509213217,True,False,5,0,77,0,BUY,60.0,8705.25,2015-03-19 14:25:00,SELL,-4632.000000000044,102499.75000000028,26,s7_NIFTY 50
NIFTY 50,NSE,2015-03-20 09:25:00,8597.3,False,True,2015-03-20 09:25:00,8606.9,8610.45,8595.25,8597.3,0,8658.105221899506,False,True,8696.166181595892,False,True,8708.402112938398,False,True,0,16,0,5,SELL,-59.0,8601.1,2015-03-24 11:30:00,BUY,-224.2000000000644,102275.5500000002,27,s7_NIFTY 50
NIFTY 50,NSE,2015-03-24 13:30:00,8551.95,False,True,2015-03-24 13:30:00,8562.4,8562.4,8551.0,8551.95,0,8575.368812093047,False,True,8576.910656155364,False,True,8595.547870414659,False,True,0,5,0,204,SELL,-59.0,8615.85,2015-03-24 14:00:00,BUY,-3770.0999999999785,98505.45000000023,28,s7_NIFTY 50
NIFTY 50,NSE,2015-03-24 15:00:00,8537.6,False,True,2015-03-24 15:00:00,8549.0,8555.9,8537.15,8537.6,0,8578.883404110638,False,True,8580.075519787299,False,True,8593.667642838935,False,True,0,5,0,222,SELL,-57.0,8410.7,2015-03-30 10:00:00,BUY,7233.299999999979,105738.7500000002,29,s7_NIFTY 50
NIFTY 50,NSE,2015-03-30 14:10:00,8462.6,True,False,2015-03-30 14:10:00,8453.5,8463.3,8453.3,8462.6,0,8443.83672814774,True,False,8422.122630664437,True,False,8415.756207493389,True,False,64,0,5,0,BUY,62.0,8472.55,2015-04-01 09:40:00,SELL,616.8999999999323,106355.65000000014,30,s7_NIFTY 50
NIFTY 50,NSE,2015-04-01 13:00:00,8509.1,True,False,2015-04-01 13:00:00,8517.3,8517.3,8505.7,8509.1,0,8495.152716977294,True,False,8493.273119371823,True,False,8478.394885533244,True,False,5,0,141,0,BUY,62.0,8771.45,2015-04-15 15:00:00,SELL,16265.700000000023,122621.35000000017,31,s7_NIFTY 50
