tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2022-10-14 10:00:00+05:30,17294.3,True,False,141326,2022-10-14 10:00:00+05:30,17296.4,17308.3,17293.5,17294.3,0,17194.383715342086,17113.31732438192,17087.74395971452,1,True,True,True,False,False,False,10,0,5,0,BUY,1844.0,18027.95,2022-11-03 12:30:00+05:30,SELL,1352850.6000000027,7733428.90000002,765,s8_NIFTY 50
NIFTY 50,NSE,2022-11-04 10:25:00+05:30,18028.05,False,True,142318,2022-11-04 10:25:00+05:30,18036.6,18039.25,18027.55,18028.05,0,18042.20737891754,18043.98667198996,18046.489972097286,-1,True,True,True,True,True,True,0,9,0,9,SELL,-2144.0,18058.25,2022-11-04 12:35:00+05:30,BUY,-64748.80000000156,7668680.100000018,766,s8_NIFTY 50
NIFTY 50,NSE,2022-11-04 13:50:00+05:30,18056.65,True,False,142359,2022-11-04 13:50:00+05:30,18048.75,18056.8,18046.2,18056.65,0,18051.60635624732,18047.178354456635,18045.96569023311,1,True,True,True,False,False,False,23,0,6,0,BUY,2123.0,18061.0,2022-11-10 09:25:00+05:30,SELL,9235.04999999691,7677915.150000015,767,s8_NIFTY 50
NIFTY 50,NSE,2022-11-10 10:10:00+05:30,18025.15,False,True,142540,2022-11-10 10:10:00+05:30,18031.85,18037.45,18024.9,18025.15,0,18071.17370741183,18120.880120538688,18133.805212901418,-1,True,True,True,True,True,True,0,16,0,5,SELL,-2129.0,18297.55,2022-11-11 09:25:00+05:30,BUY,-579939.5999999953,7097975.55000002,768,s8_NIFTY 50
NIFTY 50,NSE,2022-11-11 10:10:00+05:30,18310.55,True,False,142615,2022-11-11 10:10:00+05:30,18301.95,18315.8,18299.2,18310.55,0,18215.33421358626,18126.38787115742,18102.544897261178,1,True,True,True,False,False,False,18,0,5,0,BUY,1938.0,18333.95,2022-11-17 15:25:00+05:30,SELL,45349.20000000282,7143324.750000023,769,s8_NIFTY 50
NIFTY 50,NSE,2022-11-18 10:05:00+05:30,18292.85,False,True,142989,2022-11-18 10:05:00+05:30,18295.7,18297.4,18289.1,18292.85,0,18330.388257277777,18356.067545564903,18363.82584714917,-1,False,False,True,True,True,True,0,19,0,5,SELL,-1952.0,18248.55,2022-11-22 15:15:00+05:30,BUY,86473.59999999858,7229798.350000022,770,s8_NIFTY 50
NIFTY 50,NSE,2022-11-23 09:45:00+05:30,18282.75,True,False,143210,2022-11-23 09:45:00+05:30,18277.55,18282.8,18267.95,18282.75,0,18260.26537717912,18234.85060166777,18226.71060300546,1,True,True,True,False,False,False,16,0,5,0,BUY,1977.0,18697.9,2022-12-02 10:35:00+05:30,SELL,820751.5500000028,8050549.900000025,771,s8_NIFTY 50
NIFTY 50,NSE,2022-12-02 12:25:00+05:30,18649.5,False,True,143767,2022-12-02 12:25:00+05:30,18646.55,18650.7,18641.1,18649.5,0,18669.856351546267,18709.58890639835,18718.72633928141,-1,False,False,False,True,True,True,0,44,0,5,SELL,-2158.0,18650.85,2022-12-09 09:15:00+05:30,BUY,-2913.2999999968597,8047636.600000028,772,s8_NIFTY 50
NIFTY 50,NSE,2022-12-09 10:45:00+05:30,18560.85,False,True,144122,2022-12-09 10:45:00+05:30,18569.3,18569.3,18549.6,18560.85,0,18595.3488637278,18597.24402827751,18603.287899794406,-1,False,False,False,True,True,True,0,7,0,280,SELL,-2167.0,18524.9,2022-12-13 10:35:00+05:30,BUY,77903.6499999937,8125540.250000021,773,s8_NIFTY 50
NIFTY 50,NSE,2022-12-13 11:55:00+05:30,18583.9,True,False,144286,2022-12-13 11:55:00+05:30,18585.8,18588.65,18581.75,18583.9,0,18560.790083074684,18531.027134646843,18522.574772747743,1,True,True,True,True,True,True,39,0,5,0,BUY,2186.0,18565.1,2022-12-15 10:10:00+05:30,SELL,-41096.80000000636,8084443.450000015,774,s8_NIFTY 50
