tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2019-06-25 10:05:00,30542.95,False,True,2019-06-25 10:05:00,30582.5,30589.8,30540.2,30542.95,0,30563.701314736,False,0,False,0,30601.76715313904,False,0,True,9,30624.78424462566,False,0,True,9,30619.560113565763,False,0,True,5,0,29,0,9,SELL,-1,30612.9,2019-06-25 12:05:00,BUY,688,s6
NIFTY BANK,NSE,2019-06-25 14:05:00,30827.25,True,False,2019-06-25 14:05:00,30789.45,30827.25,30781.6,30827.25,0,30719.95960151207,True,12,False,0,30661.300509840257,True,8,False,0,30640.04939981689,True,5,False,0,30626.620513203245,True,5,False,0,25,0,10,0,BUY,1,31107.25,2019-06-28 10:50:00,SELL,689,s6
NIFTY BANK,NSE,2019-06-28 14:10:00,31200.1,True,False,2019-06-28 14:10:00,31185.7,31208.9,31178.0,31200.1,0,31195.081258232625,True,5,False,0,31189.66177121349,True,9,False,0,31199.19670346162,False,0,False,0,31141.299265183523,True,5,False,0,9,0,236,0,BUY,1,31136.85,2019-06-28 14:35:00,SELL,690,s6
NIFTY BANK,NSE,2019-07-01 09:35:00,31315.8,True,False,2019-07-01 09:35:00,31326.55,31341.9,31304.15,31315.8,0,31203.81822793497,True,5,False,0,31186.679964605413,True,5,False,0,31192.222474425507,True,5,False,0,31147.440107442097,True,5,False,0,5,0,251,0,BUY,1,31252.4,2019-07-02 09:55:00,SELL,691,s6
NIFTY BANK,NSE,2019-07-02 12:10:00,31167.1,False,True,2019-07-02 12:10:00,31165.6,31176.1,31151.55,31167.1,0,31175.318174537275,False,0,False,0,31229.06498262578,False,0,True,15,31258.37881717571,False,0,True,9,31239.143084269697,False,0,True,8,0,35,0,5,SELL,-1,31267.8,2019-07-02 13:05:00,BUY,692,s6
NIFTY BANK,NSE,2019-07-02 15:05:00,31283.65,True,False,2019-07-02 15:05:00,31308.3,31310.65,31278.9,31283.65,0,31277.63705989222,True,9,False,0,31255.43515618757,True,6,False,0,31257.13753408377,True,19,False,0,31242.774655968817,True,5,False,0,22,0,10,0,BUY,1,31434.65,2019-07-04 15:25:00,SELL,693,s6
NIFTY BANK,NSE,2019-07-05 10:05:00,31538.3,True,False,2019-07-05 10:05:00,31529.4,31545.45,31508.35,31538.3,0,31524.717774359364,True,11,False,0,31524.815728050147,True,11,False,0,31504.98345680531,True,11,False,0,31446.70698860781,True,10,False,0,5,0,175,0,BUY,1,31436.55,2019-07-05 11:35:00,SELL,694,s6
NIFTY BANK,NSE,2019-07-05 12:35:00,31573.1,True,False,2019-07-05 12:35:00,31531.3,31577.3,31507.4,31573.1,0,31520.22076502474,True,5,False,0,31520.107226964785,True,5,False,0,31511.19149111215,True,5,False,0,31465.52453007949,True,20,False,0,5,0,205,0,BUY,1,31377.3,2019-07-05 13:05:00,SELL,695,s6
NIFTY BANK,NSE,2019-07-05 14:50:00,31563.95,True,False,2019-07-05 14:50:00,31557.5,31570.4,31535.05,31563.95,0,31514.33843689719,True,13,False,0,31505.943129654013,True,13,False,0,31504.114188496023,True,11,False,0,31471.860829974048,True,13,False,0,5,0,232,0,BUY,1,31460.65,2019-07-05 15:15:00,SELL,696,s6
NIFTY BANK,NSE,2019-07-08 09:45:00,31044.75,False,True,2019-07-08 09:45:00,31092.0,31092.0,31039.1,31044.75,0,31290.822429114007,False,0,True,13,31399.472733497994,False,0,True,13,31447.332363020472,False,0,True,13,31446.61371971933,False,0,True,10,0,13,0,5,SELL,-1,30768.65,2019-07-11 14:20:00,BUY,697,s6
NIFTY BANK,NSE,2019-07-12 09:45:00,30611.05,False,True,2019-07-12 09:45:00,30612.0,30641.4,30602.75,30611.05,0,30680.84123461915,False,0,True,14,30684.21819684176,False,0,True,9,30672.540088877045,False,0,True,5,30737.21733894928,False,0,True,14,0,5,0,230,SELL,-1,30716.3,2019-07-12 13:00:00,BUY,698,s6
NIFTY BANK,NSE,2019-07-12 15:10:00,30588.1,False,True,2019-07-12 15:10:00,30582.55,30601.8,30564.65,30588.1,0,30692.237160254223,False,0,True,8,30697.46594090584,False,0,True,8,30684.48158826759,False,0,True,6,30710.64820533056,False,0,True,8,0,8,0,5,SELL,-1,30595.05,2019-07-16 09:35:00,BUY,699,s6
NIFTY BANK,NSE,2019-07-17 09:50:00,30691.1,True,False,2019-07-17 09:50:00,30677.0,30701.65,30663.3,30691.1,0,30609.774024500395,True,6,False,0,30579.12968809553,True,6,False,0,30557.102966123788,True,20,False,0,30566.20316245769,True,5,False,0,26,0,7,0,BUY,1,30631.05,2019-07-18 11:10:00,SELL,700,s6
NIFTY BANK,NSE,2019-07-18 13:10:00,30538.95,False,True,2019-07-18 13:10:00,30562.25,30568.8,30533.35,30538.95,0,30584.971545073346,False,0,True,7,30622.0905598956,False,0,True,5,30640.46596207653,False,0,True,18,30634.705515866488,False,0,True,5,0,45,0,7,SELL,-1,29226.95,2019-07-25 09:40:00,BUY,701,s6
NIFTY BANK,NSE,2019-07-25 12:15:00,29028.35,False,True,2019-07-25 12:15:00,29004.3,29035.2,28976.5,29028.35,0,29103.632862523184,False,0,True,6,29096.105633917778,False,0,True,5,29091.141619383805,False,0,True,5,29190.75354724073,False,0,True,7,0,5,0,251,SELL,-1,29147.3,2019-07-26 09:25:00,BUY,702,s6
