tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,candle_cnt_ema20_above_ema50,candle_cnt_ema20_below_ema50,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2019-10-11 11:15:00,27942.0,False,True,2019-10-11 11:15:00,27949.1,27966.35,27913.8,27942.0,0,28114.95008101837,False,0,True,11,28165.85265089501,False,0,True,10,28184.915063938635,False,0,True,10,28203.118210158256,False,0,True,10,0,5,0,10,0,6,SELL,-1,28219.9,2019-10-11 14:00:00,BUY,640,s9
NIFTY BANK,NSE,2019-10-11 15:05:00,28037.5,False,True,2019-10-11 15:05:00,28028.8,28063.0,28016.55,28037.5,0,28042.348477608848,False,0,True,8,28050.55960971805,False,0,True,8,28085.876752920387,False,0,True,8,28133.967052248165,False,0,True,16,0,5,0,8,0,52,SELL,-1,28291.25,2019-10-15 09:15:00,BUY,641,s9
NIFTY BANK,NSE,2019-10-15 10:30:00,28383.2,True,False,2019-10-15 10:30:00,28363.6,28390.35,28350.3,28383.2,0,28293.10883011996,True,16,False,0,28188.779012688257,True,16,False,0,28153.00534546279,True,16,False,0,28161.03279998936,True,16,False,0,16,0,16,0,5,0,BUY,1,28368.75,2019-10-16 13:15:00,SELL,642,s9
NIFTY BANK,NSE,2019-10-17 10:00:00,28577.75,True,False,2019-10-17 10:00:00,28533.75,28581.8,28518.7,28577.75,0,28540.78976326268,True,17,False,0,28534.81305934467,True,14,False,0,28521.198963165163,True,14,False,0,28451.50220545684,True,7,False,0,6,0,14,0,149,0,BUY,1,29354.1,2019-10-24 10:25:00,SELL,643,s9
NIFTY BANK,NSE,2019-10-24 14:10:00,29089.3,False,True,2019-10-24 14:10:00,29128.95,29134.4,29083.0,29089.3,0,29222.32955665264,False,0,True,14,29330.16055013506,False,0,True,14,29390.04982454608,False,0,True,15,29363.06176507182,False,0,True,13,0,49,0,14,0,5,SELL,-1,29260.0,2019-10-25 14:10:00,BUY,644,s9
NIFTY BANK,NSE,2019-10-27 19:05:00,29502.65,True,False,2019-10-27 19:05:00,29503.25,29507.95,29489.55,29502.65,0,29462.018811673603,True,11,False,0,29338.119210881054,True,7,False,0,29286.850854329565,True,7,False,0,29283.12889039092,True,5,False,0,23,0,27,0,9,0,BUY,1,30014.7,2019-10-31 15:20:00,SELL,645,s9
NIFTY BANK,NSE,2019-11-01 12:30:00,30285.45,True,False,2019-11-01 12:30:00,30312.05,30315.75,30268.7,30285.45,0,30260.35378981468,True,14,False,0,30238.17833800444,True,13,False,0,30206.10637946312,True,18,False,0,30096.549536750656,True,11,False,0,18,0,5,0,251,0,BUY,1,30303.85,2019-11-05 11:55:00,SELL,646,s9
NIFTY BANK,NSE,2019-11-05 13:55:00,30186.45,False,True,2019-11-05 13:55:00,30150.3,30196.75,30146.2,30186.45,0,30208.18272439909,False,0,True,10,30272.79689721669,False,0,True,10,30311.182218780235,False,0,True,9,30293.29292701926,False,0,True,5,0,25,0,30,0,7,SELL,-1,30321.55,2019-11-06 11:35:00,BUY,647,s9
NIFTY BANK,NSE,2019-11-06 12:50:00,30513.9,True,False,2019-11-06 12:50:00,30503.0,30517.7,30499.8,30513.9,0,30406.867322328584,True,19,False,0,30294.50676239428,True,19,False,0,30269.585057261527,True,16,False,0,30265.310071045325,True,16,False,0,14,0,19,0,5,0,BUY,1,30859.25,2019-11-13 12:00:00,SELL,648,s9
NIFTY BANK,NSE,2019-11-13 15:20:00,30542.4,False,True,2019-11-13 15:20:00,30566.7,30567.0,30526.25,30542.4,0,30682.198384480253,False,0,True,8,30786.53017232173,False,0,True,19,30844.13149790405,False,0,True,15,30833.009185804352,False,0,True,5,0,52,0,59,0,7,SELL,-1,30710.7,2019-11-14 14:55:00,BUY,649,s9
NIFTY BANK,NSE,2019-11-15 10:10:00,31066.3,True,False,2019-11-15 10:10:00,31029.25,31074.25,31000.05,31066.3,0,30906.97136868131,True,18,False,0,30771.5519480308,True,15,False,0,30725.97943274876,False,0,False,0,30734.616582679024,True,19,False,0,23,0,23,0,5,0,BUY,1,31288.35,2019-11-22 09:35:00,SELL,650,s9
NIFTY BANK,NSE,2019-11-22 12:15:00,31142.2,False,True,2019-11-22 12:15:00,31148.1,31152.1,31133.1,31142.2,0,31194.02154956564,False,0,True,6,31250.253155830185,False,0,True,5,31286.964690891946,False,0,False,0,31275.16830478484,False,0,True,13,0,38,0,45,0,9,SELL,-1,31235.25,2019-11-25 09:30:00,BUY,651,s9
NIFTY BANK,NSE,2019-11-25 12:00:00,31352.85,True,False,2019-11-25 12:00:00,31331.25,31352.85,31310.9,31352.85,0,31305.353182991446,True,15,False,0,31256.441173397507,True,14,False,0,31242.47342210708,True,11,False,0,31243.4374124304,True,11,False,0,28,0,32,0,5,0,BUY,1,31879.8,2019-11-29 11:25:00,SELL,652,s9
NIFTY BANK,NSE,2019-12-02 11:05:00,31777.55,False,True,2019-12-02 11:05:00,31771.35,31782.0,31760.35,31777.55,0,31845.502809845933,False,0,True,13,31876.838214530428,False,0,True,13,31902.104467717465,False,0,True,13,31888.62935762488,False,0,True,13,0,10,0,13,0,5,SELL,-1,31871.2,2019-12-02 14:05:00,BUY,653,s9
NIFTY BANK,NSE,2019-12-03 10:00:00,31713.05,False,True,2019-12-03 10:00:00,31743.05,31743.05,31703.75,31713.05,0,31790.366849141006,False,0,True,10,31808.74692846756,False,0,True,10,31831.55683469074,False,0,True,10,31848.61986197124,False,0,True,10,0,5,0,10,0,67,SELL,-1,31730.0,2019-12-04 09:45:00,BUY,654,s9
NIFTY BANK,NSE,2019-12-04 13:35:00,31597.35,False,True,2019-12-04 13:35:00,31619.1,31646.15,31596.85,31597.35,0,31659.351949224096,False,0,True,5,31687.004740069427,False,0,True,17,31691.98671383785,False,0,True,10,31722.81350556936,False,0,True,18,0,7,0,10,0,185,SELL,-1,31778.55,2019-12-04 14:35:00,BUY,655,s9
NIFTY BANK,NSE,2019-12-04 15:25:00,31968.35,True,False,2019-12-04 15:25:00,31975.2,31984.85,31951.85,31968.35,0,31843.48416933116,True,20,False,0,31766.617640327084,True,15,False,0,31733.12799153808,True,12,False,0,31738.01821591777,True,11,False,0,10,0,12,0,5,0,BUY,1,31784.0,2019-12-05 11:45:00,SELL,656,s9
NIFTY BANK,NSE,2019-12-06 10:45:00,31732.7,False,True,2019-12-06 10:45:00,31734.4,31747.6,31698.8,31732.7,0,31769.47570576802,False,0,True,10,31807.08611740224,False,0,True,14,31826.224158787143,False,0,True,13,31816.526724373423,False,0,True,10,0,36,0,14,0,5,SELL,-1,31304.15,2019-12-11 15:15:00,BUY,657,s9
NIFTY BANK,NSE,2019-12-12 11:05:00,31419.4,True,False,2019-12-12 11:05:00,31424.85,31432.05,31405.85,31419.4,0,31394.829364828453,True,9,False,0,31318.56599021072,True,9,False,0,31279.439466836287,True,8,False,0,31303.88729149597,True,6,False,0,24,0,29,0,5,0,BUY,1,32317.3,2019-12-23 13:20:00,SELL,658,s9
NIFTY BANK,NSE,2019-12-24 15:25:00,32286.8,False,True,2019-12-24 15:25:00,32284.2,32307.8,32277.2,32286.8,0,32293.1629994542,False,0,True,12,32307.119736550776,False,0,True,8,32319.71198972985,False,0,True,7,32317.17347806118,False,0,True,5,0,105,0,12,0,11,SELL,-1,32222.3,2019-12-27 09:30:00,BUY,659,s9
NIFTY BANK,NSE,2019-12-27 12:05:00,32345.05,True,False,2019-12-27 12:05:00,32336.55,32345.6,32329.05,32345.05,0,32313.641761760548,True,15,False,0,32251.582011033704,True,15,False,0,32226.833767105603,True,14,False,0,32239.267786384185,True,12,False,0,29,0,35,0,5,0,BUY,1,32330.5,2019-12-30 12:10:00,SELL,660,s9
NIFTY BANK,NSE,2019-12-31 10:00:00,32240.0,False,True,2019-12-31 10:00:00,32213.05,32245.15,32202.95,32240.0,0,32272.66571696315,False,0,True,10,32315.859017645093,False,0,True,19,32338.144536144777,False,0,True,18,32329.805041874988,False,0,True,10,0,52,0,10,0,5,SELL,-1,32300.9,2020-01-01 09:15:00,BUY,661,s9
NIFTY BANK,NSE,2020-01-01 10:10:00,32139.2,False,True,2020-01-01 10:10:00,32147.4,32162.65,32132.3,32139.2,0,32214.22675323113,False,0,True,6,32227.66403416907,False,0,True,6,32249.37708541677,False,0,True,7,32273.65964186209,False,0,True,7,0,5,0,6,0,82,SELL,-1,32216.4,2020-01-02 09:15:00,BUY,662,s9
NIFTY BANK,NSE,2020-01-02 13:10:00,32272.2,True,False,2020-01-02 13:10:00,32266.4,32279.6,32261.45,32272.2,0,32256.019727104303,True,10,False,0,32223.99381876248,True,10,False,0,32201.886780946144,True,8,False,0,32210.03025169625,True,16,False,0,47,0,40,0,10,0,BUY,1,32248.35,2020-01-03 09:15:00,SELL,663,s9
NIFTY BANK,NSE,2020-01-03 11:40:00,32120.15,False,True,2020-01-03 11:40:00,32123.65,32133.65,32119.2,32120.15,0,32163.481434995952,False,0,True,10,32217.12412562067,False,0,True,10,32230.176745553912,False,0,True,10,32230.73528548844,False,0,True,7,0,23,0,30,0,5,SELL,-1,31781.6,2020-01-07 09:20:00,BUY,664,s9
NIFTY BANK,NSE,2020-01-07 12:10:00,31490.95,False,True,2020-01-07 12:10:00,31489.4,31514.85,31482.4,31490.95,0,31505.7867226139,False,0,True,17,31514.165844646508,False,0,True,16,31558.583303664163,False,0,True,16,31706.48146573613,False,0,True,9,0,5,0,16,0,161,SELL,-1,31407.6,2020-01-08 14:55:00,BUY,665,s9
