tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema5,is_ema5_in_uptrend,ema5_uptrend_time_span,is_ema5_in_downtrend,ema5_downtrend_time_span,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,candle_cnt_ema20_above_ema50,candle_cnt_ema20_below_ema50,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2017-07-03 15:20:00,23290.85,True,False,2017-07-03 15:20:00,23275.85,23293.5,23270.45,23290.85,0,23274.134805146205,True,5,False,0,23262.194766353536,True,16,False,0,23255.976351261976,True,17,False,0,23242.406823841226,True,18,False,0,23245.693073746246,True,5,False,0,86,0,5,0,41,0,BUY,1,23231.9,2017-07-04 10:40:00,SELL,276,s8
NIFTY BANK,NSE,2017-07-05 10:50:00,23349.65,True,False,2017-07-05 10:50:00,23348.05,23352.65,23337.3,23349.65,0,23336.8509700739,True,5,False,0,23295.929951935264,True,12,False,0,23269.025354356498,True,12,False,0,23257.24801422132,True,12,False,0,23252.44754385301,True,12,False,0,11,0,12,0,9,0,BUY,1,23582.35,2017-07-11 15:15:00,SELL,277,s8
NIFTY BANK,NSE,2017-07-12 14:55:00,23646.85,True,False,2017-07-12 14:55:00,23648.85,23650.6,23636.85,23646.85,0,23645.719178416373,True,7,False,0,23627.153719616064,True,12,False,0,23611.77067718144,True,10,False,0,23611.9198879694,False,0,False,0,23596.624405122595,True,5,False,0,18,0,25,0,21,0,BUY,1,24174.0,2017-07-21 12:30:00,SELL,278,s8
NIFTY BANK,NSE,2017-07-21 15:15:00,24268.0,True,False,2017-07-21 15:15:00,24257.45,24271.2,24251.75,24268.0,0,24248.7690838512,True,5,False,0,24215.7234126725,True,17,False,0,24201.083807949824,True,13,False,0,24199.348393158853,True,13,False,0,24177.20226661686,True,17,False,0,9,0,13,0,251,0,BUY,1,24733.2,2017-07-28 12:35:00,SELL,279,s8
NIFTY BANK,NSE,2017-07-31 09:40:00,24891.7,True,False,2017-07-31 09:40:00,24868.2,24895.4,24867.85,24891.7,0,24878.79700979992,True,5,False,0,24817.66265766188,True,13,False,0,24788.515014040484,True,12,False,0,24794.15238180338,True,12,False,0,24758.771185338766,True,12,False,0,6,0,12,0,12,0,BUY,1,25049.35,2017-08-02 14:45:00,SELL,280,s8
NIFTY BANK,NSE,2017-08-03 10:10:00,24799.25,False,True,2017-08-03 10:10:00,24783.55,24817.7,24782.95,24799.25,0,24818.623229611832,False,0,True,6,24914.4904619086,False,0,True,8,25003.77806754581,False,0,True,8,25043.61334513177,False,0,False,0,25030.578323068345,False,0,True,14,0,22,0,16,0,5,SELL,-1,24829.65,2017-08-04 14:25:00,BUY,281,s8
NIFTY BANK,NSE,2017-08-07 10:40:00,24931.3,True,False,2017-08-07 10:40:00,24927.75,24935.5,24920.3,24931.3,0,24925.685065142752,True,7,False,0,24898.504387552894,True,19,False,0,24837.58288766629,True,13,False,0,24802.80860692226,True,20,False,0,24824.4685623029,True,11,False,0,40,0,42,0,5,0,BUY,1,24825.05,2017-08-08 09:30:00,SELL,282,s8
NIFTY BANK,NSE,2017-08-08 12:40:00,24664.85,False,True,2017-08-08 12:40:00,24654.85,24670.55,24652.5,24664.85,0,24666.81660037113,False,0,True,5,24675.257151083537,False,0,True,7,24721.68242277644,False,0,True,6,24769.66364102985,False,0,True,19,24804.96808626276,False,0,True,19,0,39,0,41,0,31,SELL,-1,24196.55,2017-08-14 09:40:00,BUY,283,s8
NIFTY BANK,NSE,2017-08-16 09:50:00,23982.85,False,True,2017-08-16 09:50:00,23993.25,23993.25,23972.25,23982.85,0,23999.64162074626,False,0,True,5,24064.84075521291,False,0,True,8,24101.627699302426,False,0,True,14,24112.55006635052,False,0,True,14,24159.96346388244,False,0,True,20,0,11,0,14,0,251,SELL,-1,24123.05,2017-08-16 12:30:00,BUY,284,s8
NIFTY BANK,NSE,2017-08-16 14:30:00,24306.45,True,False,2017-08-16 14:30:00,24309.8,24349.05,24306.45,24306.45,0,24294.45650104867,True,5,False,0,24250.017795541706,True,14,False,0,24175.15364202328,True,11,False,0,24136.88850367128,True,7,False,0,24146.99473519145,True,5,False,0,24,0,31,0,9,0,BUY,1,24165.3,2017-08-17 15:10:00,SELL,285,s8
NIFTY BANK,NSE,2017-08-18 11:40:00,24039.5,False,True,2017-08-18 11:40:00,24025.9,24050.75,24025.9,24039.5,0,24042.887612104256,False,0,True,5,24058.60530045717,False,0,True,15,24127.39361056924,False,0,True,15,24184.5068522537,False,0,True,15,24203.779582811698,False,0,True,14,0,34,0,35,0,23,SELL,-1,24212.5,2017-08-21 09:15:00,BUY,286,s8
NIFTY BANK,NSE,2017-08-21 14:15:00,24065.95,False,True,2017-08-21 14:15:00,24061.85,24084.0,24060.05,24065.95,0,24069.01212488985,False,0,True,8,24099.225851907817,False,0,True,5,24120.36587320507,False,0,True,9,24129.174511534467,False,0,True,17,24147.44818917629,False,0,True,11,0,14,0,17,0,129,SELL,-1,24084.35,2017-08-23 09:15:00,BUY,287,s8
NIFTY BANK,NSE,2017-08-23 12:05:00,24201.25,True,False,2017-08-23 12:05:00,24181.25,24204.85,24175.2,24201.25,0,24178.806916344125,True,5,False,0,24152.855155389872,True,19,False,0,24108.8794088414,True,19,False,0,24074.8379924976,True,16,False,0,24075.040348419032,True,15,False,0,35,0,39,0,18,0,BUY,1,24287.95,2017-08-30 09:15:00,SELL,288,s8
NIFTY BANK,NSE,2017-09-01 10:25:00,24415.8,True,False,2017-09-01 10:25:00,24405.55,24417.25,24400.8,24415.8,0,24408.5164995754,True,6,False,0,24372.79488118713,True,15,False,0,24333.087367177606,True,16,False,0,24313.98367208539,True,11,False,0,24303.687717720804,True,10,False,0,46,0,32,0,15,0,BUY,1,24368.05,2017-09-04 09:15:00,SELL,289,s8
