tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2022-04-06 11:50:00,37591.8,False,True,2022-04-06 11:50:00,37593.3,37610.3,37585.3,37591.8,0,37629.34045225005,False,0,True,11,37803.41079798526,False,0,True,10,37955.2161778676,False,0,False,0,37860.97224586194,False,0,True,12,SELL,-1,37749.95,2022-04-07 11:35:00,BUY,1051,s2
NIFTY BANK,NSE,2022-04-07 14:25:00,37619.4,False,True,2022-04-07 14:25:00,37591.75,37628.25,37577.35,37619.4,0,37683.50319739888,False,0,True,13,37706.63224529107,False,0,True,10,37722.70045423017,False,0,True,10,37743.27986417927,False,0,True,10,SELL,-1,37735.65,2022-04-08 10:10:00,BUY,1052,s2
NIFTY BANK,NSE,2022-04-08 10:35:00,37560.9,False,True,2022-04-08 10:35:00,37552.9,37577.65,37470.95,37560.9,0,37571.70406325923,False,0,True,5,37610.29845286472,False,0,True,19,37654.15442299506,False,0,True,19,37698.979630430986,False,0,True,19,SELL,-1,37689.7,2022-04-08 12:15:00,BUY,1053,s2
NIFTY BANK,NSE,2022-04-08 14:45:00,37819.5,True,False,2022-04-08 14:45:00,37738.05,37821.15,37714.45,37819.5,0,37743.64009622694,True,17,False,0,37686.07159857787,True,15,False,0,37666.29052293827,True,11,False,0,37683.59588317174,True,16,False,0,BUY,1,37582.2,2022-04-11 09:15:00,SELL,1054,s2
NIFTY BANK,NSE,2022-04-11 10:25:00,37837.2,True,False,2022-04-11 10:25:00,37863.75,37893.75,37833.5,37837.2,0,37751.65367913253,True,5,False,0,37717.38413704452,True,11,False,0,37691.44193572032,True,11,False,0,37693.76143001594,True,11,False,0,BUY,1,37713.7,2022-04-11 14:45:00,SELL,1055,s2
NIFTY BANK,NSE,2022-04-12 09:50:00,37385.2,False,True,2022-04-12 09:50:00,37419.2,37422.25,37348.35,37385.2,0,37532.98856944023,False,0,True,10,37654.63074633714,False,0,True,10,37697.47371319422,False,0,True,18,37708.25431883701,False,0,True,17,SELL,-1,37650.85,2022-04-12 14:00:00,BUY,1056,s2
NIFTY BANK,NSE,2022-04-13 14:05:00,37624.25,False,True,2022-04-13 14:05:00,37624.3,37639.3,37605.0,37624.25,0,37634.53061944756,False,0,True,16,37666.56823801197,False,0,True,10,37669.17811147728,False,0,True,6,37667.71268874931,False,0,True,6,SELL,-1,37038.45,2022-04-19 13:45:00,BUY,1057,s2
NIFTY BANK,NSE,2022-04-20 09:20:00,36295.4,False,True,2022-04-20 09:20:00,36348.1,36439.9,36270.9,36295.4,0,36573.31312026733,False,0,True,14,36723.42280839006,False,0,True,10,36789.60601820906,False,0,True,10,36944.33907394006,False,0,True,16,SELL,-1,36605.5,2022-04-21 11:10:00,BUY,1058,s2
NIFTY BANK,NSE,2022-04-21 14:45:00,36752.2,True,False,2022-04-21 14:45:00,36743.9,36760.15,36721.35,36752.2,0,36677.72999237412,True,12,False,0,36613.52169583506,True,10,False,0,36564.31163956237,True,7,False,0,36612.00666965489,True,6,False,0,BUY,1,36410.7,2022-04-22 09:15:00,SELL,1059,s2
NIFTY BANK,NSE,2022-04-22 10:00:00,36270.7,False,True,2022-04-22 10:00:00,36325.5,36327.35,36266.1,36270.7,0,36490.534596810765,False,0,True,10,36561.34391876709,False,0,True,10,36554.80494585546,False,0,True,10,36600.71536150116,False,0,True,10,SELL,-1,36494.9,2022-04-26 09:15:00,BUY,1060,s2
NIFTY BANK,NSE,2022-04-26 11:25:00,36522.2,True,False,2022-04-26 11:25:00,36548.0,36551.45,36519.9,36522.2,0,36465.969920624506,True,13,False,0,36351.70421685381,True,10,False,0,36276.225470777485,True,9,False,0,36297.7538963902,True,7,False,0,BUY,1,36321.8,2022-04-26 14:50:00,SELL,1061,s2
NIFTY BANK,NSE,2022-04-27 10:30:00,36045.25,False,True,2022-04-27 10:30:00,36060.45,36087.95,36020.6,36045.25,0,36155.01306466442,False,0,True,10,36266.84429325402,False,0,True,10,36302.85990267997,False,0,True,7,36318.43297383129,False,0,True,16,SELL,-1,36140.1,2022-04-28 12:00:00,BUY,1062,s2
NIFTY BANK,NSE,2022-04-28 13:30:00,36284.65,True,False,2022-04-28 13:30:00,36272.3,36302.6,36261.1,36284.65,0,36235.43271521928,True,13,False,0,36153.600908372246,True,13,False,0,36121.82727042893,True,6,False,0,36151.96914438313,True,19,False,0,BUY,1,36320.65,2022-04-29 14:20:00,SELL,1063,s2
NIFTY BANK,NSE,2022-05-02 10:05:00,35907.55,False,True,2022-05-02 10:05:00,35999.3,36014.2,35879.85,35907.55,0,36080.23238144253,False,0,True,14,36258.39896660124,False,0,True,10,36326.86345448626,False,0,True,8,36313.40751825975,False,0,True,5,SELL,-1,36168.8,2022-05-02 14:50:00,BUY,1064,s2
NIFTY BANK,NSE,2022-05-04 12:40:00,35798.75,False,True,2022-05-04 12:40:00,35816.75,35850.5,35778.6,35798.75,0,35976.74152136775,False,0,True,15,36035.23483837266,False,0,True,10,36070.56390271432,False,0,True,15,36127.25787271194,False,0,True,13,SELL,-1,34578.25,2022-05-10 12:25:00,BUY,1065,s2
NIFTY BANK,NSE,2022-05-11 11:05:00,34452.65,False,True,2022-05-11 11:05:00,34468.35,34493.85,34419.1,34452.65,0,34466.443051484224,False,0,True,11,34505.4951375338,False,0,True,10,34495.602356466035,False,0,True,16,34566.061620593006,False,0,True,10,SELL,-1,34568.7,2022-05-11 14:00:00,BUY,1066,s2
NIFTY BANK,NSE,2022-05-12 10:00:00,33962.05,False,True,2022-05-12 10:00:00,33951.65,33985.25,33897.15,33962.05,0,34209.41269589282,False,0,True,10,34353.941177044355,False,0,True,10,34411.14628821004,False,0,True,10,34485.46208488692,False,0,True,10,SELL,-1,33740.9,2022-05-16 14:00:00,BUY,1067,s2
NIFTY BANK,NSE,2022-05-17 11:30:00,34088.85,True,False,2022-05-17 11:30:00,34080.45,34118.9,34070.95,34088.85,0,33920.521504416974,True,8,False,0,33812.43199088961,True,10,False,0,33740.84937262015,True,10,False,0,33765.31549301798,True,8,False,0,BUY,1,33412.45,2022-05-19 09:15:00,SELL,1068,s2
NIFTY BANK,NSE,2022-05-19 10:05:00,33530.55,False,True,2022-05-19 10:05:00,33519.35,33599.25,33505.95,33530.55,0,33724.37995943048,False,0,True,12,33991.07028597974,False,0,True,10,34106.551291372336,False,0,True,11,34083.93079310012,False,0,True,11,SELL,-1,33839.0,2022-05-20 09:15:00,BUY,1069,s2
NIFTY BANK,NSE,2022-05-20 11:40:00,34083.4,True,False,2022-05-20 11:40:00,34100.2,34114.0,34082.35,34083.4,0,34036.444653739185,True,16,False,0,33855.63576209941,True,10,False,0,33783.647053173634,True,10,False,0,33823.86808712424,True,10,False,0,BUY,1,34278.4,2022-05-23 15:00:00,SELL,1070,s2
NIFTY BANK,NSE,2022-05-24 12:35:00,34411.45,True,False,2022-05-24 12:35:00,34483.4,34486.1,34405.95,34411.45,0,34409.418026160056,True,5,False,0,34401.965450123,True,12,False,0,34398.14240709139,True,12,False,0,34307.811304970746,True,7,False,0,BUY,1,34312.3,2022-05-24 13:15:00,SELL,1071,s2
NIFTY BANK,NSE,2022-05-25 10:00:00,34583.2,True,False,2022-05-25 10:00:00,34561.95,34599.55,34550.55,34583.2,0,34488.75384320416,True,10,False,0,34428.40361798208,True,10,False,0,34409.18617796461,True,10,False,0,34344.14917690501,True,10,False,0,BUY,1,34412.0,2022-05-25 13:35:00,SELL,1072,s2
NIFTY BANK,NSE,2022-05-26 10:00:00,34585.15,True,False,2022-05-26 10:00:00,34609.75,34612.9,34569.05,34585.15,0,34530.84050129038,True,10,False,0,34498.93364170201,True,10,False,0,34483.02975407628,True,10,False,0,34431.299152216496,True,10,False,0,BUY,1,35554.85,2022-05-31 15:05:00,SELL,1073,s2
NIFTY BANK,NSE,2022-06-01 11:25:00,35697.5,True,False,2022-06-01 11:25:00,35674.3,35697.5,35658.5,35697.5,0,35655.56066965942,True,16,False,0,35663.07735397073,True,12,False,0,35692.45022576884,False,0,False,0,35633.171816115915,True,14,False,0,BUY,1,35622.7,2022-06-01 12:25:00,SELL,1074,s2
NIFTY BANK,NSE,2022-06-01 13:30:00,35498.8,False,True,2022-06-01 13:30:00,35448.2,35524.4,35438.1,35498.8,0,35589.72738133665,False,0,True,20,35630.36717228694,False,0,True,20,35664.33916917399,False,0,True,20,35631.544798195646,False,0,True,14,SELL,-1,35642.85,2022-06-01 15:10:00,BUY,1075,s2
NIFTY BANK,NSE,2022-06-02 12:00:00,35497.5,False,True,2022-06-02 12:00:00,35504.8,35519.65,35477.6,35497.5,0,35520.670759167406,False,0,True,17,35532.5973907224,False,0,True,17,35564.79759744544,False,0,True,14,35580.93963891581,False,0,True,11,SELL,-1,35578.3,2022-06-02 12:30:00,BUY,1076,s2
NIFTY BANK,NSE,2022-06-03 09:50:00,35799.1,True,False,2022-06-03 09:50:00,35770.1,35799.55,35754.65,35799.1,0,35702.90102495297,True,12,False,0,35626.94409015836,True,10,False,0,35597.84739883933,True,10,False,0,35590.443773831386,True,10,False,0,BUY,1,35620.25,2022-06-03 12:25:00,SELL,1077,s2
NIFTY BANK,NSE,2022-06-03 13:55:00,35511.75,False,True,2022-06-03 13:55:00,35521.35,35528.8,35506.95,35511.75,0,35558.550418089006,False,0,True,5,35608.958662374906,False,0,True,20,35616.515238258806,False,0,True,20,35609.259294983,False,0,True,19,SELL,-1,35292.8,2022-06-08 10:35:00,BUY,1078,s2
NIFTY BANK,NSE,2022-06-08 13:35:00,34967.95,False,True,2022-06-08 13:35:00,34925.25,34979.7,34881.35,34967.95,0,35143.463869627776,False,0,True,13,35159.11111165684,False,0,True,10,35140.194048589794,False,0,True,6,35186.33209724685,False,0,True,10,SELL,-1,35052.6,2022-06-09 15:00:00,BUY,1079,s2
NIFTY BANK,NSE,2022-06-13 10:00:00,33325.0,False,True,2022-06-13 10:00:00,33378.25,33383.0,33320.75,33325.0,0,33970.96756052057,False,0,True,10,34411.794807232814,False,0,True,10,34641.266207888555,False,0,True,10,34837.28750702832,False,0,True,10,SELL,-1,33679.9,2022-06-16 09:15:00,BUY,1080,s2
NIFTY BANK,NSE,2022-06-16 11:25:00,33271.85,False,True,2022-06-16 11:25:00,33287.35,33313.65,33260.15,33271.85,0,33439.49586223479,False,0,True,11,33459.209428598675,False,0,True,10,33451.20057715188,False,0,True,6,33544.87976105818,False,0,True,14,SELL,-1,32923.75,2022-06-21 09:15:00,BUY,1081,s2
NIFTY BANK,NSE,2022-06-21 11:15:00,33154.7,True,False,2022-06-21 11:15:00,33194.5,33195.6,33154.45,33154.7,0,33089.79852771182,True,11,False,0,32938.21518609799,True,10,False,0,32844.93377146338,True,9,False,0,32866.0523785588,True,5,False,0,BUY,1,32961.35,2022-06-22 09:15:00,SELL,1082,s2
NIFTY BANK,NSE,2022-06-22 12:45:00,32879.35,False,True,2022-06-22 12:45:00,32885.85,32917.75,32877.7,32879.35,0,32892.49076145391,False,0,True,13,32964.74879448504,False,0,True,10,33010.803659588775,False,0,True,5,33002.26494985358,False,0,False,0,SELL,-1,33061.3,2022-06-23 09:20:00,BUY,1083,s2
NIFTY BANK,NSE,2022-06-23 10:00:00,33381.9,True,False,2022-06-23 10:00:00,33346.4,33400.4,33320.15,33381.9,0,33106.57788746415,True,8,False,0,33001.039645698605,True,10,False,0,32990.42927961191,True,9,False,0,32987.319538474134,True,9,False,0,BUY,1,33052.7,2022-06-23 12:20:00,SELL,1084,s2
NIFTY BANK,NSE,2022-06-23 14:30:00,33122.35,True,False,2022-06-23 14:30:00,33048.7,33152.65,33031.1,33122.35,0,33041.48895155724,True,13,False,0,33055.025689356895,True,12,False,0,33057.133646022456,True,11,False,0,33038.936013056635,True,12,False,0,BUY,1,33610.1,2022-06-28 09:20:00,SELL,1085,s2
NIFTY BANK,NSE,2022-06-28 15:25:00,33692.25,True,False,2022-06-28 15:25:00,33621.65,33722.5,33616.85,33692.25,0,33640.40635384634,True,14,False,0,33636.275091924734,True,13,False,0,33654.41108547617,False,0,False,0,33618.60204762345,True,13,False,0,BUY,1,33218.65,2022-06-29 09:15:00,SELL,1086,s2
NIFTY BANK,NSE,2022-06-29 10:00:00,33242.2,False,True,2022-06-29 10:00:00,33247.25,33265.9,33228.45,33242.2,0,33388.66316611406,False,0,True,10,33505.87912007698,False,0,True,10,33579.33194092147,False,0,True,14,33582.56240493251,False,0,True,10,SELL,-1,33461.95,2022-06-30 09:20:00,BUY,1087,s2
NIFTY BANK,NSE,2022-07-01 09:30:00,33149.0,False,True,2022-07-01 09:30:00,33129.05,33155.9,33105.7,33149.0,0,33349.95143189732,False,0,True,16,33405.045343996426,False,0,True,10,33417.391452468495,False,0,True,10,33442.10769905952,False,0,True,10,SELL,-1,33430.05,2022-07-01 13:05:00,BUY,1088,s2
NIFTY BANK,NSE,2022-07-01 15:05:00,33507.0,True,False,2022-07-01 15:05:00,33480.4,33530.3,33474.8,33507.0,0,33445.43469650796,True,19,False,0,33396.03612437613,True,17,False,0,33377.851257409486,True,7,False,0,33394.858269116485,True,5,False,0,BUY,1,33793.85,2022-07-05 15:00:00,SELL,1089,s2
NIFTY BANK,NSE,2022-07-06 10:30:00,34106.45,True,False,2022-07-06 10:30:00,34113.95,34145.2,34090.25,34106.45,0,34065.03259424324,True,16,False,0,34083.11438712,True,15,False,0,34057.24895940805,True,15,False,0,33926.01732089407,True,16,False,0,BUY,1,35192.4,2022-07-12 15:05:00,SELL,1090,s2
NIFTY BANK,NSE,2022-07-13 11:30:00,35084.3,False,True,2022-07-13 11:30:00,35086.0,35091.45,35057.55,35084.3,0,35115.46252723942,False,0,True,16,35178.416032245346,False,0,True,17,35221.73127768611,False,0,True,17,35180.50476609795,False,0,True,16,SELL,-1,34913.55,2022-07-18 09:15:00,BUY,1091,s2
NIFTY BANK,NSE,2022-07-18 11:00:00,34936.6,True,False,2022-07-18 11:00:00,34930.85,34936.6,34915.8,34936.6,0,34854.01202166424,True,15,False,0,34769.13544112145,True,18,False,0,34725.30886360533,True,17,False,0,34765.81892537239,False,0,False,0,BUY,1,36487.45,2022-07-26 09:55:00,SELL,1092,s2
NIFTY BANK,NSE,2022-07-26 12:40:00,36527.35,True,False,2022-07-26 12:40:00,36544.45,36555.2,36527.35,36527.35,0,36507.62861403327,True,15,False,0,36524.710908667774,True,10,False,0,36551.264366465446,False,0,False,0,36491.8152103395,True,11,False,0,BUY,1,36437.4,2022-07-26 13:45:00,SELL,1093,s2
NIFTY BANK,NSE,2022-07-26 15:10:00,36398.25,False,True,2022-07-26 15:10:00,36446.45,36456.4,36391.4,36398.25,0,36458.75786766654,False,0,True,20,36486.72218494108,False,0,True,20,36517.37584088004,False,0,True,12,36488.55122263578,False,0,True,18,SELL,-1,36522.55,2022-07-27 10:10:00,BUY,1094,s2
NIFTY BANK,NSE,2022-07-27 11:15:00,36572.05,True,False,2022-07-27 11:15:00,36568.8,36581.9,36559.9,36572.05,0,36517.60281442308,True,18,False,0,36482.80008684223,True,16,False,0,36494.91826180857,True,14,False,0,36480.81719876804,True,14,False,0,BUY,1,37751.6,2022-08-03 11:05:00,SELL,1095,s2
NIFTY BANK,NSE,2022-08-03 14:45:00,37878.35,True,False,2022-08-03 14:45:00,37910.5,37919.85,37869.4,37878.35,0,37842.708087864645,True,10,False,0,37841.4595225024,True,10,False,0,37848.25776802727,False,0,False,0,37783.11889260394,True,19,False,0,BUY,1,37796.4,2022-08-04 11:15:00,SELL,1096,s2
NIFTY BANK,NSE,2022-08-04 12:25:00,37620.2,False,True,2022-08-04 12:25:00,37592.55,37657.3,37556.85,37620.2,0,37676.487793746666,False,0,True,5,37796.6386438159,False,0,True,19,37842.15401378278,False,0,True,17,37813.14449243408,False,0,True,15,SELL,-1,37801.85,2022-08-04 15:00:00,BUY,1097,s2
NIFTY BANK,NSE,2022-08-05 11:00:00,38103.3,True,False,2022-08-05 11:00:00,38055.5,38111.55,38053.9,38103.3,0,37969.683461484594,True,12,False,0,37869.93424828878,True,10,False,0,37835.12561942094,False,0,False,0,37810.82198039477,False,0,False,0,BUY,1,37866.6,2022-08-05 14:25:00,SELL,1098,s2
NIFTY BANK,NSE,2022-08-08 10:25:00,38074.1,True,False,2022-08-08 10:25:00,38070.8,38088.55,38052.85,38074.1,0,37950.16652872874,True,10,False,0,37940.43021628442,True,10,False,0,37925.35208817315,True,10,False,0,37887.03758754607,True,10,False,0,BUY,1,39345.8,2022-08-19 11:00:00,SELL,1099,s2
NIFTY BANK,NSE,2022-08-19 13:00:00,39073.8,False,True,2022-08-19 13:00:00,38999.9,39089.9,38999.9,39073.8,0,39088.88304985648,False,0,True,5,39241.294224276695,False,0,True,12,39330.67667418064,False,0,True,7,39324.3829866727,False,0,True,5,SELL,-1,38642.6,2022-08-23 14:20:00,BUY,1100,s2
NIFTY BANK,NSE,2022-08-24 10:30:00,38844.95,True,False,2022-08-24 10:30:00,38836.6,38860.45,38799.8,38844.95,0,38751.12801809242,True,10,False,0,38637.26672912822,True,10,False,0,38564.6427660269,False,0,False,0,38627.19641587497,False,0,False,0,BUY,1,38658.05,2022-08-24 13:15:00,SELL,1101,s2
NIFTY BANK,NSE,2022-08-24 14:25:00,38842.25,True,False,2022-08-24 14:25:00,38835.4,38843.95,38807.3,38842.25,0,38794.3461599564,True,11,False,0,38772.94358030096,True,10,False,0,38710.46621610334,True,12,False,0,38695.10835259772,True,8,False,0,BUY,1,38931.15,2022-08-25 15:10:00,SELL,1102,s2
NIFTY BANK,NSE,2022-08-26 12:45:00,39173.15,True,False,2022-08-26 12:45:00,39180.55,39189.0,39165.7,39173.15,0,39157.107342997246,True,14,False,0,39168.74186186575,True,10,False,0,39165.061950854266,True,10,False,0,39077.59407815042,True,18,False,0,BUY,1,39063.9,2022-08-26 13:05:00,SELL,1103,s2
NIFTY BANK,NSE,2022-08-29 09:15:00,38031.85,False,True,2022-08-29 09:15:00,38111.6,38179.55,37944.25,38031.85,0,38942.34646375943,False,0,True,12,39040.976252427325,False,0,True,12,39091.5571429273,False,0,True,12,39061.851430645685,False,0,True,7,SELL,-1,38661.95,2022-08-30 09:15:00,BUY,1104,s2
NIFTY BANK,NSE,2022-08-30 12:00:00,38941.85,True,False,2022-08-30 12:00:00,38909.6,38941.85,38909.6,38941.85,0,38850.4425448668,True,17,False,0,38707.61669855267,True,15,False,0,38644.92660104865,True,14,False,0,38702.12273832448,True,14,False,0,BUY,1,39064.05,2022-09-01 13:55:00,SELL,1105,s2
NIFTY BANK,NSE,2022-09-02 12:25:00,39398.4,True,False,2022-09-02 12:25:00,39403.05,39404.95,39386.55,39398.4,0,39332.06832471165,True,10,False,0,39318.06961733769,True,10,False,0,39294.695347876914,True,10,False,0,39196.760195149975,True,9,False,0,BUY,1,39633.55,2022-09-06 14:40:00,SELL,1106,s2
NIFTY BANK,NSE,2022-09-07 10:05:00,39462.0,False,True,2022-09-07 10:05:00,39467.8,39473.45,39438.25,39462.0,0,39518.16994554182,False,0,True,20,39649.976738938414,False,0,True,14,39703.45165223651,False,0,False,0,39651.59078953916,False,0,False,0,SELL,-1,39744.35,2022-09-08 09:15:00,BUY,1107,s2
NIFTY BANK,NSE,2022-09-08 10:00:00,39948.25,True,False,2022-09-08 10:00:00,39923.1,39951.85,39913.8,39948.25,0,39740.60030781919,True,13,False,0,39619.27822313216,True,10,False,0,39598.62858543436,True,10,False,0,39594.95169689997,True,10,False,0,BUY,1,40532.0,2022-09-14 09:15:00,SELL,1108,s2
NIFTY BANK,NSE,2022-09-14 10:50:00,40877.35,True,False,2022-09-14 10:50:00,40822.0,40879.6,40810.6,40877.35,0,40809.586531570974,True,10,False,0,40796.937559696045,True,10,False,0,40758.44787334312,True,17,False,0,40638.303132749206,True,19,False,0,BUY,1,40905.1,2022-09-16 09:50:00,SELL,1109,s2
NIFTY BANK,NSE,2022-09-16 14:10:00,40597.4,False,True,2022-09-16 14:10:00,40629.6,40667.0,40560.1,40597.4,0,40798.23351086616,False,0,True,7,40934.61529625312,False,0,True,20,41000.4773710466,False,0,True,20,40940.67488444234,False,0,True,14,SELL,-1,40907.5,2022-09-19 09:30:00,BUY,1110,s2
NIFTY BANK,NSE,2022-09-19 10:50:00,41069.8,True,False,2022-09-19 10:50:00,41031.25,41087.85,41031.25,41069.8,0,41002.64218085592,True,5,False,0,40937.5159134085,True,17,False,0,40953.63934361799,True,14,False,0,40926.01127657517,True,14,False,0,BUY,1,40933.8,2022-09-19 13:20:00,SELL,1111,s2
NIFTY BANK,NSE,2022-09-20 09:50:00,41477.7,True,False,2022-09-20 09:50:00,41490.3,41504.95,41468.85,41477.7,0,41202.99034726614,True,12,False,0,41078.06430715493,True,10,False,0,41031.130879204815,True,10,False,0,40984.9531085522,True,10,False,0,BUY,1,41254.1,2022-09-21 09:45:00,SELL,1112,s2
NIFTY BANK,NSE,2022-09-21 12:40:00,41058.2,False,True,2022-09-21 12:40:00,40973.7,41061.1,40946.05,41058.2,0,41092.81848399097,False,0,True,14,41230.79941284468,False,0,True,10,41290.317318369634,False,0,False,0,41243.73870690444,False,0,True,16,SELL,-1,41299.85,2022-09-21 13:45:00,BUY,1113,s2
NIFTY BANK,NSE,2022-09-22 09:30:00,41134.8,False,True,2022-09-22 09:30:00,41088.8,41137.85,41038.55,41134.8,0,41163.81640099774,False,0,True,10,41189.36226032552,False,0,True,10,41231.3246960476,False,0,True,18,41223.02213833205,False,0,True,18,SELL,-1,38108.1,2022-09-30 10:30:00,BUY,1114,s2
NIFTY BANK,NSE,2022-09-30 12:30:00,38522.8,True,False,2022-09-30 12:30:00,38487.8,38550.35,38487.1,38522.8,0,38341.84649638662,True,15,False,0,38132.15108731337,True,15,False,0,38029.35193100523,True,9,False,0,38130.67310798059,True,5,False,0,BUY,1,38253.65,2022-10-03 10:00:00,SELL,1115,s2
NIFTY BANK,NSE,2022-10-03 13:55:00,38229.85,False,True,2022-10-03 13:55:00,38202.4,38238.6,38194.4,38229.85,0,38237.8173311252,False,0,True,6,38276.67284439602,False,0,True,17,38286.24218975202,False,0,True,11,38277.31260167812,False,0,True,7,SELL,-1,38280.65,2022-10-03 14:00:00,BUY,1116,s2
NIFTY BANK,NSE,2022-10-03 14:10:00,38192.6,False,True,2022-10-03 14:10:00,38217.5,38225.9,38191.25,38192.6,0,38235.03488545381,False,0,True,9,38271.26208223344,False,0,True,20,38282.93266095253,False,0,True,14,38275.90644607699,False,0,True,10,SELL,-1,38877.3,2022-10-04 09:15:00,BUY,1117,s2
NIFTY BANK,NSE,2022-10-04 10:00:00,39095.65,True,False,2022-10-04 10:00:00,39043.75,39108.95,39042.25,39095.65,0,38675.15919808574,True,10,False,0,38449.922852331074,True,10,False,0,38367.15943161452,True,10,False,0,38318.5824386144,True,10,False,0,BUY,1,39026.35,2022-10-07 09:15:00,SELL,1118,s2
